E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0002;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Zahra                                             ;Abdulla                                           ;2;045;kätilö                                                                                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0003;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Outi                                              ;Alanko-Kahiluoto                                  ;2;044;kansanedustaja, tutkija                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;  ; ;1; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0004;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Verna                                             ;Castrén                                           ;2;021;opiskelija                                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0005;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Pekka                                             ;Haavisto                                          ;1;053;kansanedustaja, ulkoministerin erityisedustaja                                                                                                                                                          ;091;Helsinki                                ;Helsingfors                             ;  ; ;1; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0006;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Kimmo                                             ;Helistö                                           ;1;049;tuottaja                                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0007;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sirkku                                            ;Ingervo                                           ;2;051;erityisopettaja                                                                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0008;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Henrik                                            ;Jaakkola                                          ;1;020;ylioppilas                                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0009;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Emma                                              ;Kari                                              ;2;027;opiskelija                                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0010;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Marko                                             ;Kosunen                                           ;1;037;tekniikan tohtori, tutkija                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0011;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Tuuli                                             ;Kousa                                             ;2;031;viestintäpäällikkö, Master of Laws                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
E   ;01;***;V;****;HEL;HEL;13    ;05;01;01;VIHR  ;GRÖNA ;GREEN ;0012;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Anna                                              ;Moring                                            ;2;032;vs. pääsiht., trikoulutettava, tf. generalsekr., doktorand                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;          ;0000000;
