E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0002;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Riku                                              ;Eskelinen                                         ;1;036;ekoenergiavastaava                                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0003;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Karl-Mikael                                       ;Grimm                                             ;1;023;puhelehden toimittaja, valtiotieteiden ylioppilas                                                                                                                                                       ;091;Helsinki                                ;Helsingfors                             ;SV; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0004;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Niina                                             ;Hietalahti                                        ;2;040;yrittäjä, tradenomi                                                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0005;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Tapio                                             ;Huttula                                           ;1;051;rehtori, filosofian tohtori                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0006;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Johannes                                          ;Kananen                                           ;1;035;yliopistonlehtori, valtiotieteiden tohtori                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;SV; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0007;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Anne                                              ;Kettunen                                          ;2;038;koulutuspoliittinen asiantuntija, yhteiskuntatieteiden maisteri                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0008;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Laura                                             ;Kolbe                                             ;2;057;professori, filosofian tohtori                                                                                                                                                                          ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0000706;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0009;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Timo                                              ;Laaninen                                          ;1;060;puoluesihteeri, hallintotieteiden maisteri                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;E-2011    ;0000546;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0010;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Timo                                              ;Latikka                                           ;1;043;toiminnanjohtaja, oikeustieteen maisteri                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000586;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0011;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Paula                                             ;Lehtomäki                                         ;2;042;kansanedustaja, kauppatieteiden maisteri                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ;1; ; ;E-2011    ;0007356;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0012;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Anne                                              ;Majuri                                            ;2;049;yrittäjä, kasvatustieteen maisteri                                                                                                                                                                      ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0013;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Abdirahim (Husu)                                  ;Mohamed                                           ;1;036;toimittaja, yhteisöpedagogi                                                                                                                                                                             ;091;Helsinki                                ;Helsingfors                             ;  ; ; ; ; ;E-2011    ;0000227;
E   ;01;***;V;****;HEL;HEL;2     ;04;01;01;KESK  ;CENT  ;CENT  ;0014;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Leena                                             ;Pakkanen                                          ;2;067;toimittaja, taloustieteiden maisteri                                                                                                                                                                    ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;E-2011    ;0000000;
