E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0002;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Zahra                                             ;Abdulla                                           ;2;053;kätilö                                                                                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;98; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0003;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Outi                                              ;Alanen                                            ;2;052;näyttelijä, ensihoitaja                                                                                                                                                                                 ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0004;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Paavo                                             ;Arhinmäki                                         ;1;042;kansanedustaja                                                                                                                                                                                          ;091;Helsinki                                ;Helsingfors                             ;FI; ;1;1; ;EKV-2015  ;0007910;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0005;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mira-Veera                                        ;Auer                                              ;2;033;ylioppilas, myyjä                                                                                                                                                                                       ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0006;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ilpo                                              ;Haaja                                             ;1;060;pääluottamusmies                                                                                                                                                                                        ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000403;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0007;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Veronika                                          ;Honkasalo                                         ;2;043;dosentti, nuorisotutkija                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0005369;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0008;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sirkku                                            ;Ingervo                                           ;2;059;erityisopettaja, sosiaalityöntekijä                                                                                                                                                                     ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0009;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Mai                                               ;Kivelä                                            ;2;036;toiminnanjohtaja                                                                                                                                                                                        ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0004683;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0010;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Heikki                                            ;Kuula                                             ;1;036;taiteen maisteri, muusikko                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0011;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Lauri                                             ;Linna                                             ;1;025;oikeustieteen ylioppilas                                                                                                                                                                                ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0012;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Ajak                                              ;Majok                                             ;2;021;tanssiohjaaja, ylioppilas                                                                                                                                                                               ;091;Helsinki                                ;Helsingfors                             ;98; ; ; ; ;EKV-2015  ;0000000;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0013;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Petra                                             ;Malin                                             ;2;038;väitöskirjatutkija, sosiaalityöntekijä                                                                                                                                                                  ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0000646;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0014;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Silvia                                            ;Modig                                             ;2;042;kansanedustaja, toimittaja                                                                                                                                                                              ;091;Helsinki                                ;Helsingfors                             ;FI; ;1;1; ;EKV-2015  ;0006190;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0015;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Sami (Frank)                                      ;Muttilainen                                       ;1;038;nuoriso- ja kulttuurityöntekijä                                                                                                                                                                         ;091;Helsinki                                ;Helsingfors                             ;FI; ; ;1; ;EKV-2015  ;0000749;
E   ;01;***;V;****;HEL;HEL;15    ;06;01;01;VAS   ;VÄNST ;LEFT  ;0016;Helsingin vaalipiiri                    ;Helsingfors valkrets                    ;Tuomas                                            ;Nevanlinna                                        ;1;059;vapaa kirjoittaja                                                                                                                                                                                       ;091;Helsinki                                ;Helsingfors                             ;FI; ; ; ; ;EKV-2015  ;0000000;
